Serial No.	University Rating	SOP	WSD	WPR	WSA	WWORK	WPGE	Way	PGE	CL	Math_Included	English_Included	MTH	ENG	Score	SL	Pass	Keep_PGE	Offer	 Postgraduate_Recommendation	Straight2Doctorate	LOR	Research	Paper	CET4	CET6	CGPA	TOEFL	IELTS	GRE	DV2CL	DV2SL	1	直博
112	4	5	考研					考研	1	351	0	1	NULL	63	386	368	1	NULL	NULL	NULL	NULL	NULL	1	0	517	429	3.85	NULL	NULL	NULL	35	18		
113	4	5	考研					考研	1	273	1	1	86	60	321	341	0	1	NULL	NULL	NULL	NULL	1	0	560	483	3.44	NULL	NULL	NULL	48	-20		
114	3	5	考研					考研	1	273	1	1	125	70	360	346	1	NULL	NULL	NULL	NULL	NULL	1	0	447	500	3.8	NULL	NULL	NULL	87	14		
115	3	5	考研					考研	1	273	1	1	89	65	277	280	1	NULL	NULL	NULL	NULL	NULL	0	0	436	447	NULL	NULL	NULL	NULL	4	-3		
116	3	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	401	0	2.64	NULL	NULL	NULL	#VALUE!	#VALUE!		
117	3	4	考研					考研	1	273	1	1	74	62	310	324	0	1	NULL	NULL	NULL	NULL	0	0	437	437	3.12	NULL	NULL	NULL	37	-14		
118	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	472	462	3.68	NULL	NULL	NULL	#VALUE!	#VALUE!		
119	3	3	考研					考研	1	275	1	1	110	85	388	275	1	NULL	NULL	NULL	NULL	NULL	1	0	479	NULL	3.28	NULL	NULL	NULL	113	113		
120	3	5	考研					考研	1	273	1	1	110	70	360	330	1	NULL	NULL	NULL	NULL	NULL	0	0	431	NULL	3.28	NULL	NULL	NULL	87	30		
121	4	5	考研					考研	1	278	1	1	63	69	312	325	0	1	NULL	NULL	NULL	NULL	0	0	500	520	NULL	NULL	NULL	NULL	34	-13		
122	3	5	考研					考研	1	273	1	1	103	58	352	363	0	1	NULL	NULL	NULL	NULL	1	0	427	389	3.48	NULL	NULL	NULL	79	-11		
123	3	4	考研					考研	1	273	1	1	90	50	330	326	0	1	NULL	NULL	NULL	NULL	1	0	425	NULL	3.4	NULL	NULL	NULL	57	4		
124	3	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	0	400	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
125	3	4	考研					考研	1	273	1	1	68	65	304	310	1	NULL	NULL	NULL	NULL	NULL	0	0	497	430	3.4	NULL	NULL	NULL	31	-6		
126	3	3	考研					考研	1	273	1	1	71	62	295	350	0	0	NULL	NULL	NULL	NULL	1	0	453	433	2.55	NULL	NULL	NULL	22	-55		
127	5	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	0	450	425	3.4	86	无	无	#VALUE!	#VALUE!		
128	3	5	考研					考研	1	273	1	1	92	60	352	350	1	NULL	NULL	NULL	NULL	NULL	1	0	431	360	NULL	NULL	NULL	NULL	79	2		
129	3	5	考研					考研	1	273	1	1	80	53	318	284	0	1	NULL	NULL	NULL	NULL	0	0	433	0	NULL	NULL	NULL	NULL	45	34		
130	3	3	考研					考研	1	270	1	1	66	62	306	290	0	1	NULL	NULL	NULL	NULL	1	0	477	502	NULL	NULL	NULL	NULL	36	16		
131	3	2	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	479	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
132	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	439	382	3.72	NULL	NULL	NULL	#VALUE!	#VALUE!		
133	3	5	考研					考研	1	273	1	1	77	59	278	319	0	0	NULL	NULL	NULL	NULL	1	1	493	428	2.688	NULL	NULL	NULL	5	-41		
134	3	4	考研					考研	1	273	1	1	106	71	332	315	0	1	NULL	NULL	NULL	NULL	0	0	472	551	3.62	NULL	NULL	NULL	59	17		
135	3	2	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	476	NULL	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
136	3	5	考研					考研	1	273	1	1	106	69	346	360	0	1	NULL	NULL	NULL	NULL	1	0	512	450	NULL	NULL	NULL	NULL	73	-14		
137	3	4	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	474	447	3.5	NULL	NULL	NULL	#VALUE!	#VALUE!		
138	3	3	其他					其他	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	475	NULL	4.0	NULL	NULL	NULL	#VALUE!	#VALUE!		
139	3	5	考研					考研	1	340	0	1	NULL	69	368	355	1	NULL	NULL	NULL	NULL	NULL	1	1	494	450	NULL	96	NULL	NULL	28	13		
140	3	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	534	486	3.95	NULL	NULL	NULL	#VALUE!	#VALUE!		
